dataset,model,mode,acc,acc_std,auc,auc_std,nll,nll_std,mse,mse_std,rmse,rmse_std,f1,f1_std
eedi,DKT2,train,0.7618670205512974,0.0007841749077158654,0.8265518596102133,0.0010433815639177464,0.4849027304491143,0.0010272763178806386,0.160963914808058,0.0004012302941105286,0.4012027725174927,0.00050013231748015,0.8173595250580196,0.0009465823367361382
eedi,DKT2,test,0.7537036798885651,0.0007651842494835633,0.8150612321921213,0.0006608162380666027,0.49830126540736996,0.0009691155024795671,0.16586666738881023,0.0004095009689069612,0.40726700691016615,0.0005024651678158653,0.8110092769505355,0.0018129080920119478
eedi,SAKT,train,0.7552577670766225,0.0006729610889424042,0.8171164013470914,0.0008444816915477814,0.4959330840596988,0.0010413119191604353,0.1648691528085647,0.0003833452931972915,0.4060405522678182,0.0004719349636688608,0.8125638340945394,0.001014186320913086
eedi,SAKT,test,0.7442909703626189,0.0009714807886164951,0.8019899918735197,0.0006728762796248864,0.5123401667717594,0.0012915638115361615,0.17110307159927615,0.0005350490753216387,0.4136455651764825,0.0006465362360268038,0.8042022308095704,0.0015135380868770878
eedi,SAINT,train,0.7520931270383263,0.0003926561049281456,0.8128314731938537,0.00047498549226055093,0.5009158171458711,0.0005748247986256821,0.16681716087939172,0.00020576090081203524,0.40843248821837275,0.0002518871582021337,0.8123658901330376,0.001889346768305168
eedi,SAINT,test,0.7443560974243165,0.00044500984324404914,0.8021686634199037,0.0004341112235661547,0.5120261708089796,0.0004677204163890811,0.17113004184264208,0.00020183132375431318,0.41367859782459304,0.00024401745987569974,0.8061886938298798,0.0025139451932141787
elemmath_2021,DKT2,train,0.7737024055329239,0.0013562247021168216,0.8116109165938479,0.0019257186954185655,0.4763371439274902,0.002410611099633718,0.1559442643305175,0.0008744801203020035,0.3948962404165286,0.0011061805498007442,0.8463861571099409,0.001037747635031843
elemmath_2021,DKT2,test,0.7635503331404744,0.00038275840279727885,0.7951568161790542,0.0003421226721712456,0.4930722662787591,0.00039506075498578,0.16220784989685672,0.00015298561462565857,0.40275031199783395,0.00018995395248601427,0.8398447597289473,0.0008569448242797731
elemmath_2021,SAKT,train,0.769884333942173,0.000552658733433627,0.8025252132411765,0.0008957019347144809,0.4830168037256962,0.0008842144124023394,0.1583924969504333,0.00033783020134719706,0.39798532210900817,0.00042466012564775196,0.8452853873385655,0.0008112410892152326
elemmath_2021,SAKT,test,0.7586429074731283,0.0007681251997301542,0.7832571931613886,0.0003719982506028093,0.5017545270494151,0.0007985091635665647,0.16541009339934395,0.00034439964934712095,0.40670617660517083,0.00042345076165162097,0.8378506896226462,0.001215400416491347
